Course,Field,Unit_Count,A_Count,B_Count,C_Count,D_Count,F_Count,GPT_concept_rating,Total_Students,Avg_Grade,Avg_Grade_Normalized,Failure_Rate,Failure_Rate_Normalized,Grade_Distribution,Variability_Normalized,Conceptual_Rating_Normalized,Multiplier,Difficulty_Score,Field_Adjusted_Difficulty_Score,Final_Score
ECE 120A - IC Circuit Design + Fabrication,Engineering,4,145,67,5,0,0,8.0,217,3.6451612903225805,0.08870967741935487,0.0,0.0,63.48464381250004,0.3228015117119409,0.8,1.1,3.183174949404357,3.5014924443447932,4.05
ECE 120B IC Circuit Design + Fabrication,Engineering,4,109,36,4,0,1,10.0,150,3.68,0.07999999999999996,0.006666666666666667,0.03333333333333333,46.62081080376016,0.23705367630537108,1.0,1.1,3.8851935048193518,4.273712855301287,6.52
ECE 122A - VLSI Principles,Engineering,4,35,46,2,0,6,7.0,89,3.168539325842697,0.2078651685393258,0.06741573033707865,0.33707865168539325,21.194338866782328,0.1077672365326461,0.7,1.1,3.6977038429854234,4.067474227283966,5.86
ECE 122B - VLSI Principles,Engineering,4,20,14,2,1,2,8.0,39,3.2564102564102564,0.1858974358974359,0.07692307692307693,0.38461538461538464,8.67179335547152,0.044093623848112364,0.8,1.1,4.056021170898415,4.461623287988257,7.12
ECE 130A Signal Analysis and Processing,Engineering,4,111,141,76,25,20,7.0,373,2.798927613941019,0.3002680965147453,0.12064343163538874,0.6032171581769437,52.86113884509111,0.26878398468151127,0.7,1.1,4.541496549981506,4.995646204979657,8.83
ECE 130B Signal Analysis and Processing,Engineering,4,109,118,42,5,7,8.0,281,3.1281138790035588,0.2179715302491103,0.042704626334519574,0.21352313167259787,54.430689872534224,0.2767647090573785,0.8,1.1,3.91035744349666,4.301393187846326,6.61
ECE 130C Applied Linear Algebra,Engineering,4,53,32,22,8,5,6.0,120,3.0,0.25,0.10833333333333334,0.5416666666666666,19.53202498462461,0.09931483919881083,0.6,1.1,3.8579907529327384,4.243789828226013,6.42
ECE 132 - Intro to Solid-State Electronic Devices,Engineering,4,115,204,83,13,7,8.0,422,2.9644549763033177,0.2588862559241706,0.04739336492890995,0.23696682464454974,81.13445630556724,0.4125458311574661,0.8,1.1,4.1274222046782585,4.540164425146084,7.37
ECE 133 - Intro to Optimization and Learning,Engineering,4,8,4,0,0,0,6.0,12,3.6666666666666665,0.08333333333333337,0.0,0.0,3.577708763999663,0.018191640184594602,0.6,1.1,2.3174291534256306,2.549172068768194,1.0
ECE 134 - Intro to Fields and Waves,Engineering,4,175,134,51,27,14,6.0,401,3.0698254364089776,0.2325436408977556,0.10224438902743142,0.5112219451371571,70.61657029338086,0.3590653467307876,0.6,1.1,3.883335665884097,4.271669232472507,6.51
ECE 135 - Optical Fiber Communication,Engineering,4,37,25,5,4,0,7.0,71,3.3380281690140845,0.16549295774647887,0.056338028169014086,0.28169014084507044,16.02186006679624,0.08146664042526561,0.7,1.1,3.4678459962689705,3.814630595895868,5.05
ECE 136A - Intro to Optics and Photonics,Engineering,4,12,0,0,0,0,8.0,12,4.0,0.0,0.0,0.0,5.366563145999495,0.027287460276891905,0.8,1.1,2.813643730138446,3.0950081031522907,2.75
ECE 136B - Optics and Imaging,Engineering,4,19,8,5,0,0,9.0,32,3.4375,0.140625,0.0,0.0,7.829431652425353,0.03981045212622885,0.9,1.1,3.5214677260631144,3.873614498669426,5.24
ECE 136C - Quantum Photonics,Engineering,4,52,1,0,0,0,10.0,53,3.981132075471698,0.004716981132075526,0.0,0.0,23.147354060453647,0.11769776806048242,1.0,1.1,3.57064133686043,3.9277054705464733,5.41
ECE 137A - Circuits and Electronics I,Engineering,4,134,138,93,11,9,7.0,385,2.979220779220779,0.2551948051948052,0.05194805194805195,0.2597402597402597,63.65139432879691,0.32364939106522755,0.7,1.1,3.769292228000146,4.1462214508001605,6.11
ECE 137B - Circuits and Electronics II,Engineering,4,115,174,80,3,3,8.0,375,3.0533333333333332,0.2366666666666667,0.016,0.08,73.81395532011545,0.37532314795911914,0.8,1.1,3.739328240646226,4.113261064710849,6.01
ECE 139 - Probability and Statistics,Engineering,4,463,222,62,0,4,7.0,751,3.51797603195739,0.12050599201065249,0.005326231691078562,0.02663115845539281,196.66774011006484,1.0,0.7,1.1,3.304527296937416,3.6349800266311583,4.48
ECE 142 - Intro to Power Electronics,Engineering,4,157,32,5,1,0,8.0,195,3.769230769230769,0.05769230769230771,0.005128205128205128,0.02564102564102564,67.25696989903723,0.34198272610137764,0.8,1.1,3.166504183563509,3.48315460191986,3.99
ECE 144 - Electromagnetic Fields and Waves,Engineering,4,96,17,4,3,0,9.0,120,3.716666666666667,0.0708333333333333,0.025,0.125,40.773766075750224,0.2073231026752595,0.9,1.1,3.680744884670963,4.04881937313806,5.8
ECE 145A - Communication Electronics I,Engineering,5,33,38,9,0,0,8.0,80,3.3,0.17500000000000004,0.0,0.0,18.261982367749674,0.09285703063211781,0.8,1.1,3.2839285153160587,3.612321366847665,4.4
ECE 145B - Commuincation Electronics II,Engineering,5,37,19,1,0,1,9.0,58,3.5689655172413794,0.10775862068965514,0.017241379310344827,0.08620689655172413,16.272676485446393,0.08274197118622206,0.9,1.1,3.6331813304206975,3.9964994634627677,5.63
ECE 146A - Digital Communication Fundamentals,Engineering,5,58,14,2,0,0,8.0,74,3.7567567567567566,0.060810810810810856,0.0,0.0,24.843510218968657,0.12632224382638974,0.8,1.1,3.0151881489402217,3.3167069638342443,3.46
ECE 146B - Communication Systems Design,Engineering,5,24,13,3,1,1,9.0,42,3.380952380952381,0.15476190476190477,0.047619047619047616,0.23809523809523808,10.039920318408907,0.05105016365566655,0.9,1.1,4.038620319923071,4.442482351915379,7.06
ECE 147A - Feedback Control Systems - Theory and Design,Engineering,5,72,50,21,1,0,8.0,144,3.3402777777777777,0.16493055555555558,0.006944444444444444,0.03472222222222222,31.538864912992672,0.16036623441822226,0.8,1.1,3.3619539505424445,3.6981493455966894,4.68
ECE 147B - Digital Control Systems - Theory and Design,Engineering5,43,25,14,1,1,9,,50,2.9,0.275,0.2,1.0,10.04987562112089,0.05110078356265491,,,,,
ECE 147C - Control Systems Design Project,Engineering,5,44,1,0,0,0,8.0,45,3.977777777777778,0.005555555555555536,0.0,0.0,19.570385790780925,0.09950989308072786,0.8,1.1,2.8636438354292526,3.1500082189721783,2.92
ECE 148 - Applications of Signal Analysis and Processing,Engineering,4,89,17,0,0,2,9.0,108,3.7685185185185186,0.05787037037037035,0.018518518518518517,0.09259259259259259,38.34449112975683,0.19497092460765242,0.9,1.1,3.5773465734149372,3.935081230756431,5.44
ECE 149 - Game Theory for Networked Systems,Engineering,4,33,35,22,7,6,7.0,103,2.796116504854369,0.30097087378640774,0.1262135922330097,0.6310679611650485,13.794926603646719,0.07014331173951766,0.7,1.1,4.499634762665875,4.949598238932463,8.68
ECE 152A - Digital Design Princples,Engineering,5,153,171,91,8,10,8.0,433,3.0369515011547343,0.24076212471131642,0.04157043879907621,0.20785219399538105,76.80690073163998,0.3905414313941631,0.8,1.1,4.012880415466134,4.414168457012749,6.97
ECE 153A - Hardware/Software Interface,Engineering,4,86,48,1,2,5,8.0,142,3.464788732394366,0.1338028169014085,0.04929577464788732,0.2464788732394366,37.73989931094147,0.1918967456982034,0.8,1.1,3.7234131615814956,4.0957544777396455,5.95
ECE 153B - Sensor and Peripheral Interface Design,Engineering,4,175,110,36,3,0,9.0,324,3.4104938271604937,0.1473765432098766,0.009259259259259259,0.046296296296296294,75.88609885875015,0.3858594135280173,0.9,1.1,3.803963657381293,4.184360023119423,6.23
ECE 154A - Intro to Computer Architecture,Engineering,4,235,168,25,5,1,8.0,434,3.453917050691244,0.13652073732718895,0.013824884792626729,0.06912442396313365,107.73671611850808,0.5478108207183007,0.8,1.1,3.5534561016033894,3.908801711763729,5.35
ECE 154B - Advanced Computer Architecture,Engineering,4,72,18,1,3,2,9.0,96,3.6145833333333335,0.09635416666666663,0.052083333333333336,0.2604166666666667,30.326556019436165,0.1542019855542345,0.9,1.1,3.988819742777117,4.387701717054829,6.88
ECE 157A - Machine Learning in Design and Test Automation,Engineering,4,132,30,2,0,1,7.0,165,3.7696969696969695,0.05757575757575761,0.006060606060606061,0.0303030303030303,56.753854494650845,0.28857734605018914,0.7,1.1,2.7988341275705486,3.0787175403276037,2.69
ECE 157B - Artificial Intelligence in Design and Test Automation,Engineering,4,116,17,3,0,0,8.0,136,3.8308823529411766,0.04227941176470584,0.0,0.0,50.13681282251595,0.2549315550911245,0.8,1.1,3.0331643069573264,3.3364807376530594,3.52
ECE 158 - Digital Signal Processing,Engineering,4,67,15,2,0,0,9.0,84,3.7738095238095237,0.05654761904761907,0.0,0.0,28.75239120490677,0.14619780137207827,0.9,1.1,3.3644679483050863,3.7009147431355953,4.69
ECE 162A - Quantum Description of Electronic Metals,Engineering,4,42,26,2,1,0,9.0,71,3.535211267605634,0.1161971830985915,0.014084507042253521,0.07042253521126761,18.952572384771415,0.09636848612876028,0.9,1.1,3.629522271233394,3.9924744983567337,5.62
ECE 162B - Fundamentals of Solid State,Engineering,4,49,5,0,1,0,9.0,55,3.8545454545454545,0.036363636363636376,0.01818181818181818,0.0909090909090909,21.342445970413046,0.10852031938979302,0.9,1.1,3.4769874324221695,3.824686175664387,5.08
ECE 178 - Intro to Digital Image and Video Processing,Engineering,4,107,101,37,14,8,8.0,267,3.067415730337079,0.2331460674157303,0.08239700374531835,0.4119850187265917,47.48999894714676,0.24147325291158095,0.8,1.1,4.3275718324482995,4.76032901569313,8.08
ECE 179D - Intro to Robotics - Dynamics and Control,Engineering,4,43,25,9,0,1,9.0,78,3.3974358974358974,0.15064102564102566,0.01282051282051282,0.0641025641025641,18.297540818372287,0.09303783532638395,0.9,1.1,3.7013266099708844,4.071459270967973,5.87
ECE 180 - Intro to Deep Learning,Engineering,4,130,72,8,3,0,8.0,213,3.544600938967136,0.113849765258216,0.014084507042253521,0.07042253521126761,57.19090836837618,0.29079964175298584,0.8,1.1,3.370869304444568,3.7079562348890254,4.71
ECE 181 - Intro to Computer Vision,Engineering,4,139,130,31,3,3,9.0,306,3.303921568627451,0.1740196078431373,0.0196078431372549,0.09803921568627451,67.95733955946186,0.34554390832695603,0.9,1.1,3.9538994051438703,4.349289345658257,6.76
ECE 183 - Nonlinear Phenomena,Engineering,4,38,17,6,1,0,9.0,62,3.4838709677419355,0.12903225806451613,0.016129032258064516,0.08064516129032258,15.82087228947886,0.08044467425427643,0.9,1.1,3.674093304869074,4.0415026353559815,5.78
ECE 184 - Intro to Game Development,Engineering,4,23,6,3,1,0,7.0,33,3.5454545454545454,0.11363636363636365,0.030303030303030304,0.15151515151515152,9.44986772394196,0.04804991260210421,0.7,1.1,3.061146168422264,3.3672607852644907,3.62
ECE 186 - Probabilistic Machine Learning,Engineering,4,1,1,1,0,0,8.0,3,3.0,0.25,0.0,0.0,0.5477225575051662,0.002785014752285423,0.8,1.1,3.4263925073761428,3.769031758113757,4.9
ECE 188A - Senior EE Capstone,Engineering,4,291,25,0,0,0,7.0,316,3.920886075949367,0.019778481012658222,0.0,0.0,127.80336458794815,0.6498440695785855,0.7,1.1,2.824368237320938,3.106805061053032,2.78
ECE 188B - Senior EE Capstone,Engineering,4,286,28,0,0,0,7.0,314,3.910828025477707,0.022292993630573243,0.0,0.0,125.36028079100652,0.6374216773978731,0.7,1.1,2.8244433227753696,3.106887655052907,2.79
ECE 188C - Senior EE Capstone,Engineering,4,276,37,0,2,0,7.0,315,3.8634920634920635,0.03412698412698412,0.006349206349206349,0.031746031746031744,120.10828447696687,0.6107167571547242,0.7,1.1,2.9041679023868854,3.194584692625574,3.07
ECE 189A - Senior Computer Systems Project,Engineering,4,202,32,1,0,0,8.0,235,3.8553191489361702,0.036170212765957444,0.0,0.0,87.72684879784524,0.4460662879877962,0.8,1.1,3.113458675908791,3.4248045434996706,3.8
ECE 189B - Senior Computer Systems Project,Engineering,4,208,23,3,1,0,8.0,235,3.8638297872340424,0.03404255319148941,0.00425531914893617,0.02127659574468085,90.49585625872601,0.4601459100922201,0.8,1.1,3.157732529514195,3.473505782465615,3.96
ECE 189C - Senior Computer Systems Project,Engineering,4,183,40,7,2,0,8.0,232,3.7413793103448274,0.06465517241379315,0.008620689655172414,0.043103448275862065,78.06599771987801,0.39694358452580214,0.8,1.1,3.246316619849108,3.570948281834019,4.27
CS 111 - Intro to Computational Science,CS,4,323,92,37,4,8,8.0,464,3.5474137931034484,0.1131465517241379,0.02586206896551724,0.1293103448275862,133.40052473659912,0.6783040505877664,0.8,1.1,3.6806390942594005,4.048703003685341,5.8
CS 130A - Data Structures and Algorithms I,CS,4,387,174,55,5,10,8.0,631,3.462757527733756,0.13431061806656097,0.02377179080824089,0.11885895404120443,160.90587310598704,0.8181609907956245,0.8,1.1,3.782574948646623,4.160832443511286,6.16
CS 130B - Data Structures and Algorithms II,CS,4,304,195,41,3,7,9.0,550,3.429090909090909,0.1427272727272727,0.01818181818181818,0.0909090909090909,133.8656042454521,0.6806688487422207,0.9,1.1,4.028970788007474,4.431867866808221,7.03
CS 134 - Randomized Algorithms,CS,4,304,195,41,3,7,9.0,550,3.429090909090909,0.1427272727272727,0.01818181818181818,0.0909090909090909,133.8656042454521,0.6806688487422207,0.9,1.1,4.028970788007474,4.431867866808221,7.03
CS 138 - Automata and Formal Languages,CS,4,452,157,52,16,5,8.0,682,3.5175953079178885,0.12060117302052786,0.030791788856304986,0.15395894428152493,186.35530580050573,0.9475641795457264,0.8,1.1,3.883202910887232,4.271523201975955,6.51
CS 140 - Parallel Computing,CS,4,84,95,30,9,1,9.0,219,3.1506849315068495,0.21232876712328763,0.045662100456621,0.228310502283105,43.216894844493396,0.21974572352490102,0.9,1.1,4.247315784136879,4.672047362550567,7.79
CS 148 - Computer Science Project,CS,4,273,9,2,0,1,8.0,285,3.9403508771929823,0.014912280701754432,0.0035087719298245615,0.017543859649122806,120.79942052841147,0.6142309890824302,0.8,1.1,3.1794839155938464,3.497432307153231,4.04
CS 154 - Computer Architecture,CS,4,367,183,29,4,8,7.0,591,3.517766497461929,0.12055837563451777,0.02030456852791878,0.1015228426395939,157.51412635062292,0.8009149149853979,0.7,1.1,3.3548990818581808,3.6903889900439992,4.65
CS 156 - Advanced Applications Programming,CS,4,426,10,1,0,1,8.0,438,3.963470319634703,0.0091324200913242,0.00228310502283105,0.01141552511415525,189.2149571254873,0.9621047001383827,0.8,1.1,3.326714450525812,3.6593858955783936,4.55
CS 160 - Translation of Programming Languages,CS,4,270,83,26,15,28,9.0,422,3.308056872037915,0.17298578199052128,0.1018957345971564,0.509478672985782,107.07147145715332,0.544428239208072,0.9,1.1,4.873635920551903,5.360999512607094,10.0
CS 162 - Programming Languages,CS,4,268,91,24,0,10,8.0,393,3.544529262086514,0.11386768447837148,0.02544529262086514,0.12722646310432567,111.68169053161758,0.5678699031631474,0.8,1.1,3.6230570889861538,3.9853627978847697,5.6
CS 165A - Artificial Intelligence,CS,4,287,97,14,0,7,8.0,405,3.6222222222222222,0.09444444444444444,0.01728395061728395,0.08641975308641973,121.67374408638867,0.6186766778236945,0.8,1.1,3.5182889561957973,3.8701178518153774,5.23
CS 165B - Machine Learning,CS,4,268,97,21,2,4,8.0,392,3.5892857142857144,0.1026785714285714,0.015306122448979591,0.07653061224489795,112.87293741194122,0.5739270576291365,0.8,1.1,3.4967211818757926,3.8463933000633723,5.15
CS 170 - Operating Systems,CS,4,209,165,82,5,10,7.0,471,3.1847133757961785,0.20382165605095537,0.03184713375796178,0.1592356687898089,91.36027583145751,0.46454123986134105,0.7,1.1,3.510296097637676,3.861325707401444,5.2
CS 171 - Distributed Systems,CS,4,276,120,53,15,8,9.0,472,3.358050847457627,0.1604872881355932,0.048728813559322036,0.24364406779661016,110.8120029599682,0.5634477871050555,0.9,1.1,4.320230249484731,4.752253274433205,8.05
CS 174A - Fundamentals of Database Systems,CS,4,207,97,24,6,13,8.0,347,3.3804034582132565,0.15489913544668588,0.05475504322766571,0.2737752161383285,85.08407606597136,0.4326285338833617,0.8,1.1,3.9511125378350522,4.3462237916185575,6.75
CS 174B - Implementation Techniques of Databases,CS,4,104,68,14,1,3,9.0,190,3.4157894736842107,0.14605263157894732,0.021052631578947368,0.10526315789473684,45.896622969451684,0.2333713853820952,0.9,1.1,3.8423435874278895,4.2265779461706785,6.37
CS 176A - Intro to Computer Communication Networks,CS,4,321,142,53,16,4,7.0,536,3.417910447761194,0.14552238805970152,0.03731343283582089,0.18656716417910446,131.174311509533,0.6669843840994027,0.7,1.1,3.520432490557164,3.8724757396128804,5.24
CS 176B - Network Computing,CS,4,185,75,7,2,3,8.0,272,3.6066176470588234,0.09834558823529416,0.01838235294117647,0.09191176470588235,79.23887934593724,0.40290735685268614,0.8,1.1,3.431141178426343,3.7742552962689775,4.92
CS 176C - Advanced Topics in Internet Computing,CS,4,116,33,6,3,3,8.0,161,3.590062111801242,0.10248447204968947,0.037267080745341616,0.18633540372670807,48.51494615064516,0.246684820415864,0.8,1.1,3.5522243977855714,3.907446837564129,5.35
CS 177 - Computer Security,CS,4,182,125,38,13,6,7.0,364,3.2747252747252746,0.18131868131868134,0.0521978021978022,0.260989010989011,77.29618360566064,0.3930292968353729,0.7,1.1,3.621789373692412,3.9839683110616533,5.59
CS 178 - Intro to Cryptography,CS,4,94,80,30,1,6,9.0,211,3.2085308056872037,0.19786729857819907,0.03317535545023697,0.16587677725118483,42.62862887778588,0.2167545569696831,0.9,1.1,4.08479907943271,4.493278987375981,7.22
CS 180 - Computer Graphics,CS,4,146,127,16,3,5,8.0,297,3.367003367003367,0.1582491582491582,0.026936026936026935,0.13468013468013468,70.87524250399429,0.3603806219786176,0.8,1.1,3.6451734759724737,4.009690823569722,5.67
CS 181 - Intro to Computer Vision,CS,4,136,87,21,2,3,9.0,249,3.4096385542168677,0.14759036144578308,0.020080321285140562,0.10040160642570281,59.41127839055477,0.30208959719222545,0.9,1.1,3.870823915061976,4.257906306568174,6.47
CS 184 - Mobile Application Development,CS,4,257,68,13,0,7,7.0,345,3.646376811594203,0.08840579710144925,0.020289855072463767,0.10144927536231883,108.49654372375187,0.5516743298267013,0.7,1.1,3.149750208391611,3.4647252292307726,3.93
CS 185 - Human Computer Interaction,CS,4,338,90,13,2,0,7.0,443,3.724604966139955,0.06884875846501126,0.004514672686230248,0.02257336343115124,144.28028278319943,0.7336245522649173,0.7,1.1,3.0340808991572885,3.3374889890730177,3.52
CS 189A - CS Capstone,CS,4,283,11,1,0,1,8.0,296,3.9425675675675675,0.014358108108108114,0.0033783783783783786,0.016891891891891893,125.18865763318975,0.6365490220364971,0.8,1.1,3.187953565072302,3.5067489215795327,4.06
CS 189B - CS Capstone,CS,4,293,5,0,0,0,8.0,298,3.9832214765100673,0.004194630872483174,0.0,0.0,130.492528521751,0.6635177098629447,0.8,1.1,3.1422454321126803,3.4564699753239485,3.9
